,of_mean_mag,of_std_mag,of_max_mag,of_mean_ang,of_std_ang,of_motion_ratio,tmp_mean_int,tmp_std_int,tmp_range_int,tmp_mean_diff,tmp_max_diff,tmp_std_diff,tmp_fft_peak1,tmp_fft_energy_low,tmp_fft_dom_freq,tmp_win10_std,tmp_win10_range,tmp_win25_std,tmp_win25_range,sp_q1_mean,sp_q1_std,sp_q2_mean,sp_q2_std,sp_q3_mean,sp_q3_std,sp_q4_mean,sp_q4_std,sp_symmetry,sp_com_y,sp_com_x
PC1,0.21293035741489033,0.21964689618634847,0.2323170823089033,-0.005637331379807559,0.16901007706012666,0.1727765678342107,0.11842962884668026,0.24585441266754055,0.2735779022996002,0.2600031463580842,0.26868690404765594,0.2867236341084051,0.1786275284085563,0.14865923099193934,0.019598622974792576,0.2718418863529989,0.2735051431902569,0.2890669840090276,0.29158057170797197,-0.03818752701899438,0.082575540483082,0.0378284591617883,0.07168163771003935,-0.06140004213715439,0.12099596840929334,0.0408211917890976,0.11434874678076817,-0.03711234600520103,0.0023428799585368722,0.04028176844637646
PC2,0.11388441091460114,0.16783880162446269,0.16396766750531938,0.0319311756876253,0.34529243097707535,0.011014796500067106,0.28595773873907027,-0.17826954332547335,-0.15192983992705875,-0.028546996272797685,-0.14314241433333494,-0.06834219708385994,-0.20668881310791837,-0.27751665493081434,0.075553037253871,-0.07637068520795587,-0.0605542959353558,-0.1272813989467908,-0.10585176621340273,-0.034860890022393745,0.29375325280972686,0.011259128122121796,0.28965393139920786,0.008857288082828464,0.3256456363746938,-0.0018861453027078966,0.3314390474153791,-0.199648798488143,0.13306096124481087,0.20389391294113002
PC3,0.0064180626712620585,-0.00046627365536259114,0.015180795474956805,0.011600380280738565,-0.019267602748033012,-0.00023157831236215792,0.00519310196707718,-0.03665556401137278,-0.02959181998334234,-0.013686900300791593,-0.03682329773966659,-0.02483423192416582,-0.03236998204195838,-0.030722191408791347,-0.009582035945341573,-0.01754813534841243,-0.01622326949636954,-0.03303374482003452,-0.030419073389136866,-0.48535232032412745,0.02096139887672579,0.5257143211144611,0.03034002921675467,-0.46479716183705405,-0.0794069906852878,0.4734699637546275,-0.011873786992658912,0.12030037462050007,-0.12423858517570682,-0.016685806929149588
PC4,0.4019981208233333,0.34000753149989293,0.2009369463076867,0.07057865096707501,-0.054785016999608804,0.4767345267585924,-0.16158764224698374,-0.1530751622269003,-0.12315260986708251,0.012316008938858786,-0.08357152815040883,-0.005682308761302393,-0.1684383084477676,-0.15520024079039602,0.06735339571397411,-0.01253913001948427,0.004420734493242429,-0.078162220728165,-0.0675178575897556,-0.07713041288868086,-0.3175215521381894,-0.07946165741262662,-0.3385911534510721,-0.04629289961588006,-0.020804161652153513,-0.019284082128523932,-0.20994328983540997,-0.1370227625714696,0.10302579941734621,-0.05744932637516378
PC5,0.03051031279786206,0.09674892158148198,0.1368792650241706,-0.005183805996501426,0.05272533010197799,0.050158782766702444,0.0021642656320578803,0.25921878473838705,0.1373413405332211,-0.33120017126992174,0.13938112433711597,-0.21177857234336622,0.40994447924843336,0.31276041441773256,-0.26697388571573133,-0.27968776864286804,-0.27919051451530413,-0.09966491826226331,-0.12573642336752766,-0.09766123250928609,-0.07161924994733651,0.0361191841795283,-0.07735591554294077,-0.07004383512245739,0.13930932395623757,-0.02425566567266929,0.03504282775415629,-0.24915182583688034,0.225089327858189,0.1603953394529208
PC6,-0.21086847439494794,-0.19563205310062648,-0.19545196173450935,0.011770832793924473,-0.07504725489904403,-0.23279603355289746,-0.043065224960620846,-0.03709718912694263,-0.005449661905002436,0.16852819018536128,0.0008692737755158289,0.1238969017133071,-0.09795155394591314,-0.08961782918733799,0.0074772201531955705,0.150230752601819,0.13418710112219767,0.08617230263243593,0.08253577204756522,-0.22622977199575772,-0.2261528729822095,0.024466775205994787,-0.23938803211693674,0.028856473384967517,0.2039972856643075,0.10765765427441568,0.02746152649633183,-0.45771780330683964,0.5141199584718915,0.10363817866458805
PC7,0.01582944130190542,0.027923037837064218,-0.06714165410066117,0.10647863210616704,0.08158665370266793,0.00012308567051679334,0.2256258011576653,0.12344874994210425,0.02422690883599783,-0.0858355476251662,0.09282953790638784,-0.05124976304716543,0.16362216236753677,0.0715469614639346,0.7311925571260235,-0.09614203533533335,-0.10509338126261486,-0.04244438288612993,-0.05441796816196602,-0.07251017450048647,-0.014583818791405488,-0.023273547859474202,-0.022669304917002912,0.26026933831232607,-0.042413557433946564,0.25696178326400027,-0.02851077870271103,0.03847593875631938,0.18085690347979436,-0.3499159330791787
PC8,-0.02690961868245452,-0.028624005540339205,0.006440093095958936,0.9567499506180001,-0.041883004036305606,-0.016124401400243835,-0.06542050615801198,0.008376011579260205,0.003239886798624095,0.00929960776756246,0.010825230522750428,0.0004894483922051667,0.016633467986094573,0.018596080471796714,-0.020803770338287838,0.014996099541149156,0.007557214187281648,0.019274531928810016,0.014837423756819831,0.03446651969319719,0.017306817205187012,-0.013712269349515529,-0.007678037569268996,0.026928572594991755,-0.05622434254004421,0.03536781757709081,0.04494458277300569,0.08446672799069706,-0.010745267420635132,0.24165122994490393
PC9,-0.02604149373741548,-0.016840143207243398,0.032238060152037035,-0.19485342225861724,-0.05616691532178593,-0.04201955647215955,-0.1315383527645817,0.041296102831093265,0.014606241540232795,-0.004121452056118841,0.0242772421154228,1.639489872936814e-06,0.03922488301107485,0.01736248056549712,0.5030427560200109,-0.006890197960066149,-0.021726873625411505,0.0006064574950369593,-0.014004406448416998,-0.022609049698104896,0.03739029350094585,-0.02062949828963676,-0.11582379544710555,-0.08708234611452195,-0.009608831632663895,-0.087725735331606,-0.16150867219851242,0.06056768975416094,-0.13423476159620065,0.7751008735328819
PC10,0.035385917740137225,0.03703306798630324,-0.03085901257321671,-0.05601193570763497,0.10834394945580259,-0.07204899162600682,0.6835667393903356,-0.020479286313341498,-0.0573084443363936,0.029846119139170846,-0.05618518824640534,0.006742243775168614,-0.0019081229818373948,0.0030069889976856497,-0.2375713643503231,0.005266467030384597,0.014403266892172448,-0.0027447372074438257,0.014750350485218715,0.11051163179399258,-0.3470891836487679,0.04139714627395928,-0.2604090241997736,0.23703404498709618,-0.15843354613464106,0.23572149720573873,-0.038518714036961915,0.1558111840152729,-0.09799905572857892,0.26449596155230604
